POINT_NO,NORTHING,EASTING,ELEVATION,STATION,OFFSET,DESCRIPTION
CONTROL,784988.3236,740358.6369,21.55,219+54.23,CONTROL,"SET 1"" IRON PIPE AND CAP LB #642"
POINT,784995.1018,741245.7644,23.24,228+41.34,POINT,"SET 1"" IRON PIPE AND CAP LB #642"
TABLE,785021.8673,742401.381,22.9,239+97.25,TABLE,"SET 1"" IRON PIPE AND CAP LB #642"
COORDINATES,785047.2085,743470.4853,23.28,250+66.63,COORDINATES,"SET 1"" IRON PIPE AND CAP LB #642"
POINT,785067.1898,744400.2232,23.45,259+96.58,POINT,"SET 1"" IRON PIPE AND CAP LB #642"
NO.,785110.7394,745443.9604,25.95,270+40.92,NO.,SET MAG NAIL AND DISK LB #642
ELEVATION,785136.6221,746501.3468,26.57,280+98.66,ELEVATION,SET MAG NAIL AND DISK LB #642
STATION,785126.6008,747340.2278,25.92,289+34.16,STATION,SET MAG NAIL AND DISK LB #642
OFFSET,785189.44,748023.688,28.18,296+00.04,OFFSET,FOUND MAG NAIL WITH DISK TRAV PT
DESCRIPTION,785475.8057,749294.6394,23.687,309+17.42,DESCRIPTION,"SET 1"" IRON PIPE AND CAP LB #642"
NORTH,785330.4096,750366.1732,23.11,319+91.90,NORTH,"SET 1"" IRON PIPE AND CAP LB #642"
EAST,785325.3533,751351.6411,26.225,329+77.37,EAST,"SET 1"" IRON PIPE AND CAP LB #642"
VERTICAL,785316.2372,752351.9284,26.574,339+77.62,VERTICAL,"SET 1"" IRON PIPE AND CAP LB #642"
CONTROL,785410.0626,754057.8145,25.746,354+00.76,CONTROL,"SET 1"" IRON PIPE AND CAP LB #642"
POINT,784979.595,739471.746,23.75,210+67.32,POINT,SET MAG NAIL AND DISK LB #642
(CL,784988.528,739991.635,23.48,215+87.29,(CL,BM 600 N. FACE WOOD UTILITY POLE
ALICO),785004.025,740873.827,23.69,224+69.62,ALICO),SET MAG NAIL AND DISK LB #642
500,785023.423,741946.778,25.19,235+42.74,500,BM 601 N. FACE WOOD UTILITY POLE
501,785040.277,742962.559,26.29,245+58.66,501,SET MAG NAIL AND DISK LB #642
502,785059.739,744035.134,25.85,256+31.41,502,BM 602 N. FACE WOOD UTILITY POLE
503,785074.409,744894.296,26.16,264+90.70,503,SET MAG NAIL AND DISK LB #642
504,785096.529,745961.086,26.47,275+57.56,504,BM 603 N. FACE WOOD UTILITY POLE
505,785120.452,747219.676,26.85,288+13.51,505,SET MAG NAIL AND DISK LB #642
506,785131.417,747776.591,26.47,293+53.83,506,BM 604 N. FACE WOOD UTILITY POLE
507,785106.916,739036.794,24.054,206+34.68,507,SET MAG NAIL AND DISK LB #642
508,785073.4163,737791.6015,25.47,193+83.82,508,BM 605 N. FACE WOOD UTILITY POLE
