source_pdf,page,point_id,northing_guess,easting_guess,elevation_guess,description
plansTest.pdf,31,219+54.23,219,+54.23,,
plansTest.pdf,31,SET,1,642,,""" IRON PIPE AND CAP LB #"
plansTest.pdf,31,197+93.71,197,+93.71,,
plansTest.pdf,31,228+41.34,228,+41.34,,
plansTest.pdf,31,SET,1,642,,""" IRON PIPE AND CAP LB #"
plansTest.pdf,31,276.34.08,276.34,08,,
plansTest.pdf,31,171+66.11,171,+66.11,,
plansTest.pdf,31,239+97.25,239,+97.25,,
plansTest.pdf,31,SET,1,642,,""" IRON PIPE AND CAP LB #"
plansTest.pdf,31,250+66.63,250,+66.63,,
plansTest.pdf,31,SET,1,642,,""" IRON PIPE AND CAP LB #"
plansTest.pdf,31,293+30.47,293,+30.47,,
plansTest.pdf,31,259+96.58,259,+96.58,,
plansTest.pdf,31,SET,1,642,,""" IRON PIPE AND CAP LB #"
plansTest.pdf,31,296+73.37,296,+73.37,,
plansTest.pdf,31,270+40.92,270,+40.92,,
plansTest.pdf,31,280+98.66,280,+98.66,,
plansTest.pdf,31,300+09.65,300,+09.65,,
plansTest.pdf,31,292+80.47,292,+80.47,,
plansTest.pdf,31,303+95.96,303,+95.96,,
plansTest.pdf,31,289+34.16,289,+34.16,,
plansTest.pdf,31,296+00.04,296,+00.04,,
plansTest.pdf,31,309+17.42,309,+17.42,,
plansTest.pdf,31,SET,1,642,,""" IRON PIPE AND CAP LB #"
plansTest.pdf,31,319+91.90,319,+91.90,,
plansTest.pdf,31,SET,1,642,,""" IRON PIPE AND CAP LB #"
plansTest.pdf,31,329+77.37,329,+77.37,,
plansTest.pdf,31,SET,1,642,,""" IRON PIPE AND CAP LB #"
plansTest.pdf,31,191+19.50,191,+19.50,,
plansTest.pdf,31,193+43.35,193,+43.35,,
plansTest.pdf,31,195+66.89,195,+66.89,,
plansTest.pdf,31,307+72.87,307,+72.87,,
plansTest.pdf,31,329+65.45,329,+65.45,,
plansTest.pdf,31,171+66.11,171,+66.11,,
plansTest.pdf,31,339+77.62,339,+77.62,,
plansTest.pdf,31,SET,1,642,,""" IRON PIPE AND CAP LB #"
plansTest.pdf,31,354+00.76,354,+00.76,,
plansTest.pdf,31,SET,1,642,,""" IRON PIPE AND CAP LB #"
